what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599695687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599707477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599708127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599797076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599799263
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1332599800454
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1332599800464
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332599802501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599802972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599804502
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332599804522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599817870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599823509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332599844972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332599850475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599857011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332599859803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332599979067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332599984016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332600000424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332600001249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332600016552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332600036675
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypeHierarchy",1332600038842
