what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1301790575946
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1301790577150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301790578026
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1301790585148
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1301790585976
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1301790586156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301790592448
activated,perspective,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms.Perspective",1301790605795
activated,view,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms.views.ThreadView",1301790605822
activated,view,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms.views.LogCatView",1301790609386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301790609665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301790610965
activated,view,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms.views.DeviceView",1301790614860
activated,view,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms.views.LogCatView",1301790617892
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301790723285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301792009389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301792016408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301792018072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301792031883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301792032841
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301792034694
